date,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,correct,pnl_bps
2024-11-18,1,1,0.006856133437878498,1,0.006856133437878498,0.7238319274895977,1,68.56133437878498
2024-11-19,1,1,-0.0005762007264262792,-1,-0.0005762007264262792,0.7232557267631714,0,-5.762007264262792
2024-11-20,1,1,0.0035907636655334585,1,0.0035907636655334585,0.7268464904287049,1,35.907636655334585
2024-11-21,-1,-1,0.001602834341612791,1,-0.001602834341612791,0.7252436560870921,0,-16.02834341612791
2024-11-22,-1,-1,0.0015803531512181834,1,-0.0015803531512181834,0.7236633029358739,0,-15.803531512181834
2024-11-25,-1,-1,0.005354873527114279,1,-0.005354873527114279,0.7183084294087596,0,-53.54873527114279
2024-11-26,-1,-1,-0.007904569310772658,-1,0.007904569310772658,0.7262129987195323,1,79.04569310772658
2024-11-27,-1,-1,0.008748495973476267,1,-0.008748495973476267,0.717464502746056,0,-87.48495973476267
2024-11-29,1,1,0.010828943043815542,1,0.010828943043815542,0.7282934457898715,1,108.28943043815542
2024-12-02,1,1,0.0030616332240454014,1,0.0030616332240454014,0.7313550790139169,1,30.616332240454014
2024-12-03,1,1,0.012287103040251601,1,0.012287103040251601,0.7436421820541685,1,122.87103040251601
2024-12-04,1,1,-0.0027750356593267966,-1,-0.0027750356593267966,0.7408671463948417,0,-27.750356593267966
2024-12-05,1,1,0.008910051193060653,1,0.008910051193060653,0.7497771975879024,1,89.10051193060653
2024-12-06,1,1,-0.0078181913431985,-1,-0.0078181913431985,0.7419590062447039,0,-78.181913431985
2024-12-09,-1,-1,-0.0034132804108386594,-1,0.0034132804108386594,0.7453722866555426,1,34.132804108386594
2024-12-10,1,1,0.017744088106408817,1,0.017744088106408817,0.7631163747619514,1,177.44088106408816
2024-12-11,-1,-1,-0.006474756499725842,-1,0.006474756499725842,0.7695911312616772,1,64.74756499725842
2024-12-12,-1,-1,0.007625177023169449,1,-0.007625177023169449,0.7619659542385078,0,-76.2517702316945
2024-12-13,-1,-1,0.014297983459924168,1,-0.014297983459924168,0.7476679707785836,0,-142.97983459924168
2024-12-16,-1,-1,-0.0044136105125813785,-1,0.0044136105125813785,0.752081581291165,1,44.136105125813785
2024-12-17,-1,-1,-0.036743617584647836,-1,0.036743617584647836,0.7888251988758128,1,367.43617584647836
2024-12-18,1,1,-0.00446342678902667,-1,-0.00446342678902667,0.7843617720867861,0,-44.6342678902667
2024-12-19,1,1,0.008694602134918128,1,0.008694602134918128,0.7930563742217043,1,86.94602134918128
2024-12-20,-1,-1,0.009695682677066664,1,-0.009695682677066664,0.7833606915446376,0,-96.95682677066664
2024-12-23,1,1,0.013468681041473474,1,0.013468681041473474,0.7968293725861111,1,134.68681041473474
2024-12-24,1,1,-0.0006795172315490206,-1,-0.0006795172315490206,0.7961498553545621,0,-6.7951723154902055
2024-12-26,1,1,-0.013382333190683049,-1,-0.013382333190683049,0.782767522163879,0,-133.8233319068305
2024-12-27,1,1,-0.013389199368291749,-1,-0.013389199368291749,0.7693783227955873,0,-133.89199368291747
2024-12-30,1,1,-0.00853091261997907,-1,-0.00853091261997907,0.7608474101756082,0,-85.3091261997907
2024-12-31,1,1,-0.001958006622355235,-1,-0.001958006622355235,0.758889403553253,0,-19.58006622355235
2025-01-02,1,1,0.01623280176738895,1,0.01623280176738895,0.7751222053206419,1,162.3280176738895
2025-01-03,-1,-1,0.01142731488779436,1,-0.01142731488779436,0.7636948904328476,0,-114.2731488779436
2025-01-06,-1,-1,-0.018005420533192762,-1,0.018005420533192762,0.7817003109660403,1,180.05420533192762
2025-01-07,-1,-1,0.00017464857383586718,1,-0.00017464857383586718,0.7815256623922044,0,-1.7464857383586718
2025-01-08,1,1,-0.015805307652863476,-1,-0.015805307652863476,0.765720354739341,0,-158.05307652863476
2025-01-10,1,1,-0.003218936843742526,-1,-0.003218936843742526,0.7625014178955984,0,-32.18936843742526
2025-01-13,1,1,-0.0009498588157095256,-1,-0.0009498588157095256,0.7615515590798889,0,-9.498588157095256
2025-01-14,1,1,0.022745439411320234,1,0.022745439411320234,0.7842969984912092,1,227.45439411320234
2025-01-15,-1,-1,-0.007030539607247199,-1,0.007030539607247199,0.7913275380984564,1,70.30539607247199
2025-01-16,-1,-1,0.01673769466892505,1,-0.01673769466892505,0.7745898434295313,0,-167.37694668925053
2025-01-17,-1,-1,0.0058478295043187245,1,-0.0058478295043187245,0.7687420139252126,0,-58.478295043187245
2025-01-21,-1,-1,0.012704640915971233,1,-0.012704640915971233,0.7560373730092413,0,-127.04640915971233
2025-01-22,1,1,0.002123957614922567,1,0.002123957614922567,0.7581613306241639,1,21.23957614922567
2025-01-23,-1,-1,-0.005667216336586733,-1,0.005667216336586733,0.7638285469607506,1,56.672163365867334
2025-01-24,-1,-1,-0.029546858975209034,-1,0.029546858975209034,0.7933754059359597,1,295.46858975209034
2025-01-27,1,1,0.014671609802356045,1,0.014671609802356045,0.8080470157383157,1,146.71609802356045
2025-01-28,1,1,-0.001879704895315193,-1,-0.001879704895315193,0.8061673108430005,0,-18.79704895315193
2025-01-29,1,1,0.004253325246487805,1,0.004253325246487805,0.8104206360894883,1,42.533252464878046
2025-01-30,1,1,-0.0014541424815455173,-1,-0.0014541424815455173,0.8089664936079428,0,-14.541424815455173
2025-01-31,1,1,-0.008035209423030487,-1,-0.008035209423030487,0.8009312841849123,0,-80.35209423030487
2025-02-03,1,1,0.012200433247485876,1,0.012200433247485876,0.8131317174323982,1,122.00433247485876
2025-02-04,1,1,0.004527731469178065,1,0.004527731469178065,0.8176594489015763,1,45.277314691780646
2025-02-05,-1,-1,0.00520622025576678,1,-0.00520622025576678,0.8124532286458095,0,-52.0622025576678
2025-02-06,-1,-1,-0.012693664466042698,-1,0.012693664466042698,0.8251468931118522,1,126.93664466042698
2025-02-07,-1,-1,0.012032486246543073,1,-0.012032486246543073,0.8131144068653091,0,-120.32486246543073
2025-02-10,-1,-1,-0.0023835886054568434,-1,0.0023835886054568434,0.815497995470766,1,23.835886054568434
2025-02-11,-1,-1,0.0005869545653220953,1,-0.0005869545653220953,0.8149110409054439,0,-5.869545653220953
2025-02-12,-1,-1,0.014283265865419281,1,-0.014283265865419281,0.8006277750400246,0,-142.8326586541928
2025-02-13,-1,-1,0.004189778860845372,1,-0.004189778860845372,0.7964379961791792,0,-41.89778860845372
2025-02-14,-1,-1,0.0022645087724306734,1,-0.0022645087724306734,0.7941734874067485,0,-22.645087724306734
2025-02-18,-1,-1,0.00027804994033431285,1,-0.00027804994033431285,0.7938954374664142,0,-2.7804994033431285
2025-02-19,1,1,-0.004253544092281736,-1,-0.004253544092281736,0.7896418933741325,0,-42.53544092281736
2025-02-20,-1,-1,-0.020973144748504424,-1,0.020973144748504424,0.8106150381226369,1,209.73144748504424
2025-02-21,1,1,-0.011874424526676641,-1,-0.011874424526676641,0.7987406135959603,0,-118.74424526676641
2025-02-24,1,1,-0.012679321481805061,-1,-0.012679321481805061,0.7860612921141552,0,-126.79321481805061
2025-02-25,1,1,0.0024127116177794505,1,0.0024127116177794505,0.7884740037319347,1,24.127116177794505
2025-02-26,1,1,-0.0281641412175615,-1,-0.0281641412175615,0.7603098625143732,0,-281.641412175615
2025-02-27,1,1,0.015668107905678852,1,0.015668107905678852,0.775977970420052,1,156.68107905678852
